policy,selected_mcs,count,share
Fixed Balanced,MCS2-Balanced,3225,1.0
Fixed Conservative,MCS1-Robust,3225,1.0
Fixed High-Rate,MCS3-HighRate,3225,1.0
Fixed Peak-Rate,MCS4-Peak,3225,1.0
Fixed Survival,MCS0-Survival,3225,1.0
Improved LSTM Policy,MCS0-Survival,307,0.0951937984496124
Improved LSTM Policy,MCS1-Robust,369,0.1144186046511628
Improved LSTM Policy,MCS2-Balanced,661,0.2049612403100775
Improved LSTM Policy,MCS3-HighRate,1435,0.4449612403100775
Improved LSTM Policy,MCS4-Peak,453,0.1404651162790697
LSTM-raw Policy,MCS0-Survival,306,0.0948837209302325
LSTM-raw Policy,MCS1-Robust,383,0.1187596899224806
LSTM-raw Policy,MCS2-Balanced,626,0.1941085271317829
LSTM-raw Policy,MCS3-HighRate,1449,0.4493023255813953
LSTM-raw Policy,MCS4-Peak,461,0.1429457364341085
Oracle Policy,MCS0-Survival,300,0.0930232558139534
Oracle Policy,MCS1-Robust,380,0.117829457364341
Oracle Policy,MCS2-Balanced,673,0.2086821705426356
Oracle Policy,MCS3-HighRate,1428,0.4427906976744186
Oracle Policy,MCS4-Peak,444,0.1376744186046511
PatchTST Policy,MCS0-Survival,295,0.0914728682170542
PatchTST Policy,MCS1-Robust,401,0.1243410852713178
PatchTST Policy,MCS2-Balanced,657,0.2037209302325581
PatchTST Policy,MCS3-HighRate,1463,0.4536434108527132
PatchTST Policy,MCS4-Peak,409,0.1268217054263566
Persistence Policy,MCS0-Survival,298,0.0924031007751938
Persistence Policy,MCS1-Robust,391,0.1212403100775193
Persistence Policy,MCS2-Balanced,638,0.197829457364341
Persistence Policy,MCS3-HighRate,1465,0.4542635658914729
Persistence Policy,MCS4-Peak,433,0.1342635658914728
TCN Policy,MCS0-Survival,301,0.0933333333333333
TCN Policy,MCS1-Robust,376,0.1165891472868217
TCN Policy,MCS2-Balanced,670,0.2077519379844961
TCN Policy,MCS3-HighRate,1415,0.4387596899224806
TCN Policy,MCS4-Peak,463,0.1435658914728682
TFT Policy,MCS0-Survival,296,0.0917829457364341
TFT Policy,MCS1-Robust,377,0.1168992248062015
TFT Policy,MCS2-Balanced,660,0.2046511627906976
TFT Policy,MCS3-HighRate,1438,0.445891472868217
TFT Policy,MCS4-Peak,454,0.1407751937984496
