策略,avg_mission_utility,avg_goodput,outage_rate,availability,avg_coded_ber_proxy,p99_coded_ber_proxy,ber_proxy_exceed_1e_4_rate
理想策略（Oracle Policy）,2.381127077693577,2.548958030812964,0.0209788691399233,0.9790211308600766,3.5403772473247e-06,7.536713817053916e-05,0.0043410852713178
改进 LSTM 预测驱动策略（Improved LSTM Policy）,2.3627220409419896,2.5463871705232486,0.0229581411976573,0.9770418588023426,5.308018783500035e-06,0.0001063582338051,0.0102325581395348
时间卷积网络预测驱动策略（TCN Policy）,2.3622430692448635,2.532458391483632,0.021276915279846,0.978723084720154,5.20156578078645e-06,0.0001114576719914,0.0105426356589147
时间融合 Transformer 预测驱动策略（TFT Policy）,2.35956260772684,2.5392306008335823,0.0224584991383428,0.9775415008616573,5.000028408607421e-06,9.646001972937946e-05,0.009922480620155
分块时间序列 Transformer 预测驱动策略（PatchTST Policy）,2.35660816728512,2.542856499230945,0.0232810414932281,0.9767189585067718,5.121800645635163e-06,9.67331105170774e-05,0.009922480620155
持续性预测策略（Persistence Policy）,2.351324317673917,2.539289235010885,0.023495614667121,0.976504385332879,5.408953948780943e-06,0.0001133636919616,0.0111627906976744
基础 LSTM 预测驱动策略（LSTM-raw Policy）,2.345254399605317,2.58826955111937,0.0303768939392565,0.9696231060607434,6.214214393105446e-06,0.0001200413757019,0.0124031007751937
固定高速率策略（Fixed High-Rate）,2.0926670053556644,2.7525455469151816,0.0824848176949396,0.9175151823050604,3.068789621049916e-05,0.0007710168677334,0.0582945736434108
固定均衡策略（Fixed Balanced）,1.702031462042931,1.7820057787425791,0.0099967895874559,0.990003210412544,7.369826765682417e-06,0.0002161523499305,0.0167441860465116
固定保守策略（Fixed Conservative）,0.989344077724878,0.9988160086360977,0.0011839913639024,0.9988160086360977,1.730403184981584e-06,5.172556446022229e-05,0.0043410852713178
固定峰值速率策略（Fixed Peak-Rate）,-0.7478594814445143,2.49663853917484,0.4055622525774192,0.5944377474225808,5.353779668524754e-05,0.0012355921380998,0.1001550387596899
