policy,selected_mcs,count,share
Fixed Balanced,MCS2-Balanced,3225,1.0
Fixed Conservative,MCS1-Robust,3225,1.0
Fixed High-Rate,MCS3-HighRate,3225,1.0
Fixed Peak-Rate,MCS4-Peak,3225,1.0
Fixed Survival,MCS0-Survival,3225,1.0
Improved LSTM Policy,MCS0-Survival,307,0.0951937984496124
Improved LSTM Policy,MCS1-Robust,369,0.1144186046511628
Improved LSTM Policy,MCS2-Balanced,661,0.2049612403100775
Improved LSTM Policy,MCS3-HighRate,1435,0.4449612403100775
Improved LSTM Policy,MCS4-Peak,453,0.14046511627906977
LSTM-raw Policy,MCS0-Survival,306,0.09488372093023256
LSTM-raw Policy,MCS1-Robust,383,0.11875968992248062
LSTM-raw Policy,MCS2-Balanced,626,0.19410852713178295
LSTM-raw Policy,MCS3-HighRate,1449,0.4493023255813953
LSTM-raw Policy,MCS4-Peak,461,0.14294573643410852
Oracle Policy,MCS0-Survival,300,0.09302325581395349
Oracle Policy,MCS1-Robust,380,0.11782945736434108
Oracle Policy,MCS2-Balanced,673,0.20868217054263566
Oracle Policy,MCS3-HighRate,1428,0.4427906976744186
Oracle Policy,MCS4-Peak,444,0.13767441860465116
PatchTST Policy,MCS0-Survival,295,0.09147286821705426
PatchTST Policy,MCS1-Robust,401,0.12434108527131783
PatchTST Policy,MCS2-Balanced,657,0.20372093023255813
PatchTST Policy,MCS3-HighRate,1463,0.4536434108527132
PatchTST Policy,MCS4-Peak,409,0.1268217054263566
Persistence Policy,MCS0-Survival,298,0.0924031007751938
Persistence Policy,MCS1-Robust,391,0.12124031007751938
Persistence Policy,MCS2-Balanced,638,0.19782945736434107
Persistence Policy,MCS3-HighRate,1465,0.4542635658914729
Persistence Policy,MCS4-Peak,433,0.13426356589147287
TCN Policy,MCS0-Survival,301,0.09333333333333334
TCN Policy,MCS1-Robust,376,0.11658914728682171
TCN Policy,MCS2-Balanced,670,0.20775193798449612
TCN Policy,MCS3-HighRate,1415,0.4387596899224806
TCN Policy,MCS4-Peak,463,0.14356589147286822
TFT Policy,MCS0-Survival,296,0.09178294573643411
TFT Policy,MCS1-Robust,377,0.11689922480620155
TFT Policy,MCS2-Balanced,660,0.20465116279069767
TFT Policy,MCS3-HighRate,1438,0.44589147286821706
TFT Policy,MCS4-Peak,454,0.1407751937984496
