policy,policy_kind,rows,avg_mission_utility,avg_goodput,outage_rate,availability,avg_coded_ber,p99_coded_ber,avg_bler,switch_count,switching_rate,robust_mode_share,high_rate_mode_share
Oracle Policy,oracle,3225,1.956208869104927,2.426229024143687,0.058752519379844964,0.9412474806201551,4.646428344837444e-05,0.0215118040936337,0.005411623299883335,636,0.1972093023255814,0.21085271317829457,0.5804651162790697
Improved LSTM Policy,forecast,3225,1.9374190279759165,2.4347833690611878,0.06217054263565892,0.9378294573643411,4.742420780612874e-05,0.021660881836380177,0.005533816935652716,672,0.20837209302325582,0.2096124031007752,0.5854263565891473
TCN Policy,forecast,3225,1.9364582460254742,2.4356985561029934,0.06240503875968992,0.93759496124031,4.764175837483453e-05,0.0215118040936337,0.005559073039151477,694,0.2151937984496124,0.20992248062015503,0.5823255813953488
TFT Policy,forecast,3225,1.9359392739002967,2.4395051653731645,0.06294573643410853,0.9370542635658915,4.782115116459607e-05,0.021660881836380177,0.0055985401775299716,689,0.21364341085271318,0.20868217054263566,0.5866666666666667
PatchTST Policy,forecast,3225,1.9340329894136832,2.4099167103439156,0.059485465116279064,0.9405145348837209,4.760564811399107e-05,0.0215118040936337,0.0055446481585731,694,0.2151937984496124,0.2158139534883721,0.5804651162790697
LSTM-raw Policy,forecast,3225,1.9339001998108607,2.4427033005860546,0.06360038759689922,0.9363996124031008,4.788335386805697e-05,0.0215118040936337,0.0056026202598301504,663,0.2055813953488372,0.21364341085271318,0.5922480620155038
Persistence Policy,forecast,3225,1.9310106786172654,2.429454089469979,0.06230542635658915,0.9376945736434108,4.797341217747105e-05,0.0215118040936337,0.00561593742664864,650,0.20155038759689922,0.21364341085271318,0.5885271317829457
Fixed Balanced,fixed,3225,0.8599967979036163,1.7592820692214457,0.11241065891472869,0.8875893410852713,0.0002582052872607567,0.10607581762352487,0.02262107265475237,0,0.0,0.0,0.0
Fixed Conservative,fixed,3225,0.7699714695248314,0.9925792214628159,0.02782596899224806,0.9721740310077519,7.685783127228407e-05,0.05001080737186914,0.0074207785371840605,0,0.0,1.0,0.0
Fixed High-Rate,fixed,3225,0.5410329915917446,2.8004267900413575,0.28242422480620155,0.7175757751937984,0.000797548344348395,0.14098165185855824,0.0665244033195477,0,0.0,0.0,1.0
Fixed Survival,fixed,3225,0.3084797095585875,0.34891226769812234,0.0050540697674418605,0.9949459302325582,2.987888657777698e-05,0.0215118040936337,0.0031078065767932367,0,0.0,1.0,0.0
Fixed Peak-Rate,fixed,3225,-0.44292462756326345,3.820976147630535,0.5329875968992248,0.4670124031007752,0.0012419111600202653,0.1612707592300841,0.09024377437368218,0,0.0,0.0,1.0
