model,RMSE,MAE,MAPE,R2,RMSE_h1,hidden_size,num_layers,dropout,learning_rate,candidate,output_dir,min_val_loss
lstm,0.189225833979069,0.1383832470596244,0.0101369949697146,0.899077793015801,0.189225833979069,96,1,0.0,0.001,hs96_l1_do0p0_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs96_l1_do0p0_lr0p001,0.091394
lstm,0.1870267628077844,0.1365067551810951,0.0100003567918337,0.9014098796203938,0.1870267628077844,192,1,0.05,0.0007,hs192_l1_do0p05_lr0p0007,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs192_l1_do0p05_lr0p0007,0.092377
lstm,0.1955273656432424,0.1419847966584199,0.0104239134629689,0.8922441191854352,0.1955273656432424,64,1,0.0,0.001,hs64_l1_do0p0_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs64_l1_do0p0_lr0p001,0.092627
lstm,0.2110060439284966,0.1523893002462998,0.0112205747631439,0.874508106145512,0.2110060439284966,128,2,0.1,0.001,hs128_l2_do0p1_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs128_l2_do0p1_lr0p001,0.097799
lstm,0.1932101720332167,0.140098551035232,0.0102703646195133,0.8947830138612004,0.1932101720332167,160,2,0.0,0.0005,hs160_l2_do0p0_lr0p0005,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs160_l2_do0p0_lr0p0005,0.098059
lstm,0.1930020895812559,0.143422007750745,0.0105063220845426,0.8950095238704341,0.1930020895812559,160,2,0.05,0.0007,hs160_l2_do0p05_lr0p0007,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs160_l2_do0p05_lr0p0007,0.09807
lstm,0.1971892714938672,0.1453681429929065,0.010691918196443,0.8904045691708353,0.1971892714938672,64,2,0.05,0.001,hs64_l2_do0p05_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs64_l2_do0p05_lr0p001,0.098196
lstm,0.2041470124128933,0.1449071629798336,0.0106433849298967,0.8825340648540347,0.2041470124128933,128,2,0.05,0.001,hs128_l2_do0p05_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs128_l2_do0p05_lr0p001,0.098452
lstm,0.2019605297186549,0.1440187046973184,0.0105722909911224,0.885036788994389,0.2019605297186549,96,2,0.05,0.001,hs96_l2_do0p05_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs96_l2_do0p05_lr0p001,0.099062
lstm,0.1989118156518909,0.146513494944596,0.010783593750919,0.8884814673388309,0.1989118156518909,128,2,0.0,0.0005,hs128_l2_do0p0_lr0p0005,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs128_l2_do0p0_lr0p0005,0.099224
lstm,0.1957273147080859,0.1414596288210696,0.0103376685649374,0.8920236211084256,0.1957273147080859,128,1,0.0,0.001,hs128_l1_do0p0_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs128_l1_do0p0_lr0p001,0.100368
lstm,0.2166584925410262,0.1539367953867666,0.0112551198907464,0.8676946769925489,0.2166584925410262,160,1,0.0,0.0007,hs160_l1_do0p0_lr0p0007,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs160_l1_do0p0_lr0p0007,0.100436
lstm,0.2061598182983622,0.1500507044950004,0.0110046736210158,0.8802063138431281,0.2061598182983622,96,2,0.1,0.001,hs96_l2_do0p1_lr0p001,C:\Users\33640\Desktop\lstm\fusion_forecasting_project\outputs\external_site_lstm_raw_sweep_20260426\hs96_l2_do0p1_lr0p001,0.102676
