adaptation_ratio,variant,model_label,method,method_key,common_test_timestamps,test_start,test_end,RMSE,MAE,MSE,R2
0.05,lstm_improved,Improved LSTM,fewshot_finetuned,lstm_improved|fewshot_finetuned,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.26770160360199563,0.18805116611560632,0.07166414857107999,0.8728219737022271
0.05,patchtst,PatchTST,fewshot_finetuned,patchtst|fewshot_finetuned,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.30926691447309,0.2308576857696793,0.09564602438770559,0.8302627904273204
0.05,lstm_improved,Improved LSTM,persistence,persistence|persistence,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.30013481052148105,0.20777584398740395,0.09008090448676534,0.8401388718323768
0.05,lstm_improved,Improved LSTM,source_only,lstm_improved|source_only,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.31691385583920934,0.2286634133103704,0.10043439202287514,0.821765164247823
0.05,patchtst,PatchTST,source_only,patchtst|source_only,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.33266949841243887,0.25407538981145394,0.11066899517398368,0.8036024335846945
0.1,lstm_improved,Improved LSTM,fewshot_finetuned,lstm_improved|fewshot_finetuned,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.26048073666662497,0.17667293836073752,0.06785021417438764,0.8807026466133548
0.1,patchtst,PatchTST,fewshot_finetuned,patchtst|fewshot_finetuned,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.28947933375457735,0.19724571348313785,0.083798284670994,0.8526620188125518
0.1,lstm_improved,Improved LSTM,persistence,persistence|persistence,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.3032695891472632,0.20989567630928935,0.09197244370154982,0.838289838114632
0.1,lstm_improved,Improved LSTM,source_only,lstm_improved|source_only,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.3189036334639579,0.22982445511679528,0.1016995274365144,0.8211872340938241
0.1,patchtst,PatchTST,source_only,patchtst|source_only,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.33422570446031385,0.2549785365073298,0.11170682152199304,0.8035919514040595
0.2,lstm_improved,Improved LSTM,fewshot_finetuned,lstm_improved|fewshot_finetuned,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.24756204878672983,0.16968261573163368,0.0612869679994832,0.8936545901641524
0.2,patchtst,PatchTST,fewshot_finetuned,patchtst|fewshot_finetuned,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.26850572252208776,0.17803597211972683,0.0720953230271084,0.874899886144958
0.2,lstm_improved,Improved LSTM,persistence,persistence|persistence,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.3050702076021223,0.21078111476476405,0.09306783156640197,0.8385082993411239
0.2,lstm_improved,Improved LSTM,source_only,lstm_improved|source_only,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.32222362584907405,0.23249249929688126,0.10382806505532405,0.8198370960223617
0.2,patchtst,PatchTST,source_only,patchtst|source_only,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.33751952400587193,0.2576088929016237,0.11391942908515036,0.8023265178589312
