adaptation_ratio,variant,model_label,method,method_key,common_test_timestamps,test_start,test_end,RMSE,MAE,MSE,R2
0.05,lstm_improved,Improved LSTM,fewshot_finetuned,lstm_improved|fewshot_finetuned,3077,2006-06-12 09:00:00,2006-08-07 23:30:00,0.2615204383005357,0.18116183978493394,0.06839293964890429,0.8626594534034522
0.05,tcn,TCN,fewshot_finetuned,tcn|fewshot_finetuned,3077,2006-06-12 09:00:00,2006-08-07 23:30:00,0.2627071207714536,0.19635454745028771,0.0690150313040271,0.8614102249248063
0.05,tft,TFT,fewshot_finetuned,tft|fewshot_finetuned,3077,2006-06-12 09:00:00,2006-08-07 23:30:00,0.27307094570433355,0.1933874168277613,0.07456774138785907,0.8502597722330443
0.05,lstm_raw,LSTM-raw,fewshot_finetuned,lstm_raw|fewshot_finetuned,3077,2006-06-12 09:00:00,2006-08-07 23:30:00,0.2862635675976534,0.21686825306909893,0.0819468301337363,0.8354417486751794
0.05,patchtst,PatchTST,fewshot_finetuned,patchtst|fewshot_finetuned,3077,2006-06-12 09:00:00,2006-08-07 23:30:00,0.3039412684921777,0.2241351620536739,0.09238029469263402,0.8144902056708161
0.1,lstm_improved,Improved LSTM,fewshot_finetuned,lstm_improved|fewshot_finetuned,2850,2006-06-15 00:50:00,2006-08-07 23:30:00,0.22089970830835895,0.1499866054626867,0.04879668113071807,0.9022939111541752
0.1,tft,TFT,fewshot_finetuned,tft|fewshot_finetuned,2850,2006-06-15 00:50:00,2006-08-07 23:30:00,0.2641654734964945,0.18610382301007636,0.06978339738762715,0.8602719966373529
0.1,lstm_raw,LSTM-raw,fewshot_finetuned,lstm_raw|fewshot_finetuned,2850,2006-06-15 00:50:00,2006-08-07 23:30:00,0.26441764953539904,0.18952062841509312,0.06991669338582512,0.8600050951737537
0.1,tcn,TCN,fewshot_finetuned,tcn|fewshot_finetuned,2850,2006-06-15 00:50:00,2006-08-07 23:30:00,0.2654960095033331,0.2017635415735131,0.07048813106219393,0.858860901263153
0.1,patchtst,PatchTST,fewshot_finetuned,patchtst|fewshot_finetuned,2850,2006-06-15 00:50:00,2006-08-07 23:30:00,0.27688213595098016,0.18578318009780162,0.07666371720877706,0.8464954625748801
0.2,lstm_improved,Improved LSTM,fewshot_finetuned,lstm_improved|fewshot_finetuned,2650,2006-06-29 16:25:00,2006-08-07 23:30:00,0.2208234652157585,0.15321241661336965,0.048763002789895295,0.9038606962601798
0.2,tcn,TCN,fewshot_finetuned,tcn|fewshot_finetuned,2650,2006-06-29 16:25:00,2006-08-07 23:30:00,0.23476789542254625,0.16576710647393855,0.055115964721131616,0.891335435266999
0.2,tft,TFT,fewshot_finetuned,tft|fewshot_finetuned,2650,2006-06-29 16:25:00,2006-08-07 23:30:00,0.24995995810404628,0.1711472705985407,0.06247998065537657,0.8768168181978722
0.2,patchtst,PatchTST,fewshot_finetuned,patchtst|fewshot_finetuned,2650,2006-06-29 16:25:00,2006-08-07 23:30:00,0.2642795114618194,0.17508259666899492,0.06984366017849791,0.862298864384274
0.2,lstm_raw,LSTM-raw,fewshot_finetuned,lstm_raw|fewshot_finetuned,2650,2006-06-29 16:25:00,2006-08-07 23:30:00,0.27483071310203094,0.1950722773737984,0.07553192086417085,0.8510841016043882
