variant,adaptation_ratio,method,target_train_windows,target_val_windows,target_test_windows,test_start,test_end,RMSE,MAE,MAPE,R2,RMSE_h1,finetune_epochs,finetune_lr
patchtst,0.05,source_only,450,99,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.33266949841243887,0.25407538981145394,0.01831851553128318,0.8036024335846945,0.33266949841243887,,
patchtst,0.05,persistence,450,99,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.30013481052148105,0.20777584398740395,0.01482789445996315,0.8401388718323768,0.30013481052148105,,
patchtst,0.05,fewshot_finetuned,450,99,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.30926691447309,0.2308576857696793,0.016636716781052552,0.8302627904273204,0.30926691447309,15.0,0.0003
patchtst,0.1,source_only,804,277,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.33422570446031385,0.2549785365073298,0.018381459360180766,0.8035919514040595,0.33422570446031385,,
patchtst,0.1,persistence,804,277,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.3032695891472632,0.20989567630928935,0.014980853197973702,0.838289838114632,0.3032695891472632,,
patchtst,0.1,fewshot_finetuned,804,277,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.28947933375457735,0.19724571348313785,0.014042116797369825,0.8526620188125518,0.28947933375457735,15.0,0.0003
patchtst,0.2,source_only,1599,404,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.33751952400587193,0.2576088929016237,0.018548493306191648,0.8023265178589312,0.33751952400587193,,
patchtst,0.2,persistence,1599,404,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.3050702076021223,0.21078111476476405,0.015021278843599306,0.8385082993411239,0.3050702076021223,,
patchtst,0.2,fewshot_finetuned,1599,404,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.26850572252208776,0.17803597211972683,0.012638082282410847,0.874899886144958,0.26850572252208776,15.0,0.0003
lstm_improved,0.05,source_only,450,99,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.31691385583920934,0.2286634133103704,0.016273798224721213,0.821765164247823,0.31691385583920934,,
lstm_improved,0.05,persistence,450,99,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.30013481052148105,0.20777584398740395,0.01482789445996315,0.8401388718323768,0.30013481052148105,,
lstm_improved,0.05,fewshot_finetuned,450,99,10200,2006-06-12 09:00:00,2006-08-07 23:45:00,0.26770160360199563,0.18805116611560632,0.013428629313237652,0.8728219737022271,0.26770160360199563,15.0,0.0003
lstm_improved,0.1,source_only,804,277,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.3189036334639579,0.22982445511679528,0.016350662194637308,0.8211872340938241,0.3189036334639579,,
lstm_improved,0.1,persistence,804,277,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.3032695891472632,0.20989567630928935,0.014980853197973702,0.838289838114632,0.3032695891472632,,
lstm_improved,0.1,fewshot_finetuned,804,277,9663,2006-06-14 21:55:00,2006-08-07 23:45:00,0.26048073666662497,0.17667293836073752,0.01255276210835519,0.8807026466133548,0.26048073666662497,15.0,0.0003
lstm_improved,0.2,source_only,1599,404,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.32222362584907405,0.23249249929688126,0.01652157874850312,0.8198370960223617,0.32222362584907405,,
lstm_improved,0.2,persistence,1599,404,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.3050702076021223,0.21078111476476405,0.015021278843599306,0.8385082993411239,0.3050702076021223,,
lstm_improved,0.2,fewshot_finetuned,1599,404,8741,2006-06-27 04:35:00,2006-08-07 23:45:00,0.24756204878672983,0.16968261573163368,0.012079477003404981,0.8936545901641524,0.24756204878672983,15.0,0.0003
