variant,model,RMSE,MAE,MAPE,R2,seq_len,pred_len,target_mode,target_aggregation,feature_count,attention_pool,ar_window,RMSE_h1
01_single_point_final,lstm,0.1508730241954899,0.1091435611731097,0.008183059088646,0.8768665050666961,144,1,delta,multistep,9,True,12,0.1508730241954899
02_future_mean_raw_absolute,lstm,0.1298610931414156,0.0937374852712807,0.0070364595232102,0.8992062695260759,144,6,absolute,mean,7,True,12,0.1298610931414156
03_future_mean_raw_delta,lstm,0.1273496720206216,0.0908872215594068,0.0068107021156991,0.9030671298846158,144,6,delta,mean,7,True,12,0.1273496720206216
04_future_mean_time_delta,lstm,0.1216061071816469,0.0863326250846887,0.006479678372052,0.9116134499023586,144,6,delta,mean,9,True,12,0.1216061071816469
05_future_mean_physics_delta,lstm,0.1231526837964095,0.0882868378841136,0.0066069037554781,0.90935096781841,144,6,delta,mean,9,True,12,0.1231526837964095
06_future_mean_final,lstm,0.1196291569598036,0.0856942655704264,0.0064150264244326,0.914463890131041,144,6,delta,mean,9,True,12,0.1196291569598036
07_final_no_attention,lstm,0.1189298431379799,0.0862480803509833,0.0064608733151737,0.91546100072005,144,6,delta,mean,9,False,12,0.1189298431379799
08_final_no_ar_shortcut,lstm,0.1191135422172872,0.0850006020837427,0.0063637344381489,0.9151996410891712,144,6,delta,mean,9,True,0,0.1191135422172872
09_final_vanilla_lstm,vanilla_lstm,0.120796672419007,0.0866308337918499,0.006492702489519,0.9127861713231832,144,6,delta,mean,9,True,12,0.120796672419007
10_final_mlp_window,mlp,0.1363354955646399,0.0992237042758685,0.0074454795038641,0.8889053122450679,144,6,delta,mean,9,True,12,0.1363354955646399
11_final_no_attention_no_ar,lstm,0.1185113647345189,0.0861380823439405,0.0064478179518005,0.9160548887247072,144,6,delta,mean,9,False,0,0.1185113647345189
12_time_trend_delta,lstm,0.1187557631653493,0.084653389844573,0.0063454835603189,0.9157083024206508,144,6,delta,mean,9,True,12,0.1187557631653493
13_time_trend_no_attention,lstm,0.1205478612050538,0.0891169329443003,0.0066567520650115,0.9131450790657384,144,6,delta,mean,9,False,12,0.1205478612050538
14_final_no_bidirectional,lstm,0.1208631699601041,0.0885468088376001,0.0066304712773404,0.9126901239515188,144,6,delta,mean,9,True,12,0.1208631699601041
