policy,selected_mcs,count,share
Fixed Balanced,MCS2-Balanced,3225,1.0
Fixed Conservative,MCS1-Robust,3225,1.0
Fixed High-Rate,MCS3-HighRate,3225,1.0
Fixed Peak-Rate,MCS4-Peak,3225,1.0
Fixed Survival,MCS0-Survival,3225,1.0
Improved LSTM Policy,MCS1-Robust,45,0.013953488372093023
Improved LSTM Policy,MCS2-Balanced,987,0.30604651162790697
Improved LSTM Policy,MCS3-HighRate,2193,0.68
LSTM-raw Policy,MCS1-Robust,34,0.010542635658914728
LSTM-raw Policy,MCS2-Balanced,832,0.257984496124031
LSTM-raw Policy,MCS3-HighRate,2359,0.7314728682170543
Oracle Policy,MCS1-Robust,56,0.017364341085271316
Oracle Policy,MCS2-Balanced,977,0.30294573643410855
Oracle Policy,MCS3-HighRate,2192,0.6796899224806201
PatchTST Policy,MCS1-Robust,53,0.016434108527131782
PatchTST Policy,MCS2-Balanced,980,0.30387596899224806
PatchTST Policy,MCS3-HighRate,2192,0.6796899224806201
Persistence Policy,MCS1-Robust,56,0.017364341085271316
Persistence Policy,MCS2-Balanced,983,0.3048062015503876
Persistence Policy,MCS3-HighRate,2186,0.6778294573643411
TCN Policy,MCS1-Robust,44,0.013643410852713178
TCN Policy,MCS2-Balanced,1040,0.32248062015503876
TCN Policy,MCS3-HighRate,2141,0.6638759689922481
TFT Policy,MCS1-Robust,55,0.017054263565891473
TFT Policy,MCS2-Balanced,993,0.30790697674418605
TFT Policy,MCS3-HighRate,2177,0.6750387596899224
