policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct
Oracle Policy,oracle,3225,2.381127077693577,2.5489580308129636,2.601736434108527,0.020978869139923372,0.9790211308600766,1.3653262345116526,-0.26883948856940776,69,0.021395348837209303,0.017364341085271316,0.6796899224806201,13.78432744434114,0.0
Improved LSTM Policy,forecast,3225,2.3627220409419896,2.5463871705232486,2.6048372093023255,0.02295814119765736,0.9770418588023426,1.3502874748217302,-0.331292468672159,71,0.02201550387596899,0.013953488372093023,0.68,12.904825989762632,0.7729548298369343
TCN Policy,forecast,3225,2.3622430692448635,2.532458391483632,2.585736434108527,0.021276915279846036,0.978723084720154,1.4216053042790944,-0.22664012439725192,99,0.030697674418604652,0.013643410852713178,0.6638759689922481,12.881937890705291,0.7930701652011443
TFT Policy,forecast,3225,2.35956260772684,2.5392306008335823,2.5964031007751944,0.022458499138342844,0.9775415008616571,1.3850161569922728,-0.3039865042749046,125,0.03875968992248062,0.017054263565891473,0.6750387596899224,12.753849594231767,0.9056412893185499
PatchTST Policy,forecast,3225,2.3566081672851196,2.5428564992309455,2.602480620155039,0.023281041493228197,0.9767189585067718,1.3616053042790945,-0.3789071037440802,147,0.045581395348837206,0.016434108527131782,0.6796899224806201,12.612668965199095,1.0297186839858719
Persistence Policy,forecast,3225,2.351324317673917,2.5392892350108855,2.5995038759689924,0.023495614667121058,0.976504385332879,1.3736983275349084,-0.3985441772794459,69,0.021395348837209303,0.017364341085271316,0.6778294573643411,12.360175396098997,1.2516240858731464
LSTM-raw Policy,forecast,3225,2.3452543996053175,2.58826955111937,2.669333333333333,0.030376893939256546,0.9696231060607434,1.1050161569922727,-0.9324841856324468,117,0.03627906976744186,0.010542635658914728,0.7314728682170543,12.07011882937983,1.5065419407605452
Fixed High-Rate,fixed,3225,2.0926670053556644,2.7525455469151816,3.0,0.08248481769493961,0.9175151823050604,-0.14552647866664203,-3.7267865266136955,0,0.0,0.0,1.0,0.0,12.11443417028052
Fixed Balanced,fixed,3225,1.7020314620429313,1.7820057787425791,1.8000000000000005,0.009996789587455996,0.990003210412544,4.354473521333357,0.7732134733863048,0,0.0,0.0,0.0,-18.666875442342135,28.519923275511857
Fixed Conservative,fixed,3225,0.989344077724878,0.9988160086360977,1.0,0.0011839913639024322,0.9988160086360975,8.354473521333357,4.7732134733863045,0,0.0,1.0,0.0,-52.72329160860776,58.45059732455846
Fixed Survival,fixed,3225,0.3489906529979278,0.3499576920418293,0.35,0.00012087988048768705,0.9998791201195123,12.354473521333357,8.773213473386305,0,0.0,1.0,0.0,-83.32316359436201,85.3434679624084
Fixed Peak-Rate,fixed,3225,-0.7478594814445143,2.49663853917484,4.200000000000001,0.40556225257741924,0.5944377474225808,-3.645526478666642,-7.2267865266136955,0,0.0,0.0,1.0,-135.7371468814939,131.4077937481989
