scenario,effective_path_m,clear_sky_snr_db,outage_penalty,improved_utility,baseline_utility,baseline,utility_delta
L300_SNR18_A4,300.0,18.0,4.0,2.4897954401586926,2.4866927198780444,LSTM-raw Policy,0.0031027202806481746
L300_SNR18_A8,300.0,18.0,8.0,2.3966607036935352,2.379853325376958,LSTM-raw Policy,0.016807378316577193
L300_SNR18_A12,300.0,18.0,12.0,2.334602183719737,2.311424247929564,LSTM-raw Policy,0.02317793579017291
L300_SNR20_A4,300.0,20.0,4.0,2.953978631659362,2.9449927159687843,LSTM-raw Policy,0.008985915690577606
L300_SNR20_A8,300.0,20.0,8.0,2.839301303456333,2.831928791750254,LSTM-raw Policy,0.007372511706078999
L300_SNR20_A12,300.0,20.0,12.0,2.7704657566437825,2.7687912184796235,LSTM-raw Policy,0.0016745381641589674
L300_SNR22_A4,300.0,22.0,4.0,3.767766067746693,3.765044734703519,LSTM-raw Policy,0.0027213330431741234
L300_SNR22_A8,300.0,22.0,8.0,3.674393330203714,3.666164442269407,LSTM-raw Policy,0.008228887934306872
L300_SNR22_A12,300.0,22.0,12.0,3.623093317173238,3.6011348946027555,LSTM-raw Policy,0.021958422570482306
L500_SNR18_A4,500.0,18.0,4.0,1.9920934322333366,1.986903590334733,LSTM-raw Policy,0.005189841898603609
L500_SNR18_A8,500.0,18.0,8.0,1.7997145370130676,1.7890096854599766,LSTM-raw Policy,0.010704851553090977
L500_SNR18_A12,500.0,18.0,12.0,1.685140260087882,1.666754052428643,LSTM-raw Policy,0.01838620765923893
L500_SNR20_A4,500.0,20.0,4.0,2.4801296975757428,2.4777898030653023,LSTM-raw Policy,0.0023398945104404767
L500_SNR20_A8,500.0,20.0,8.0,2.3627220409419896,2.3452543996053175,LSTM-raw Policy,0.017467641336672113
L500_SNR20_A12,500.0,20.0,12.0,2.2826757266237423,2.2568031591412625,LSTM-raw Policy,0.02587256748247979
L500_SNR22_A4,500.0,22.0,4.0,3.2099906645538074,3.2037236337332113,LSTM-raw Policy,0.006267030820596098
L500_SNR22_A8,500.0,22.0,8.0,3.0028187441982785,2.9929854688009514,LSTM-raw Policy,0.009833275397327146
L500_SNR22_A12,500.0,22.0,12.0,2.869182244402254,2.8471394189150874,LSTM-raw Policy,0.022042825487166517
L800_SNR18_A4,800.0,18.0,4.0,1.3419765452726178,1.3290530114021402,LSTM-raw Policy,0.012923533870477621
L800_SNR18_A8,800.0,18.0,8.0,1.1349355847227207,1.1103756748903963,LSTM-raw Policy,0.024559909832324367
L800_SNR18_A12,800.0,18.0,12.0,1.0038335011822153,0.9854630144902855,LSTM-raw Policy,0.018370486691929755
L800_SNR20_A4,800.0,20.0,4.0,1.8676689969135996,1.862768877427245,LSTM-raw Policy,0.004900119486354493
L800_SNR20_A8,800.0,20.0,8.0,1.6213925148106303,1.604671558120347,LSTM-raw Policy,0.016720956690283284
L800_SNR20_A12,800.0,20.0,12.0,1.4791932035661017,1.446130690908793,LSTM-raw Policy,0.03306251265730875
L800_SNR22_A4,800.0,22.0,4.0,2.377471465125268,2.366150961931055,LSTM-raw Policy,0.01132050319421296
L800_SNR22_A8,800.0,22.0,8.0,2.1267391599997936,2.0954077177372596,LSTM-raw Policy,0.031331442262533926
L800_SNR22_A12,800.0,22.0,12.0,1.964751037883919,1.9330349538041778,LSTM-raw Policy,0.03171608407974125
L300_SNR18_A4,300.0,18.0,4.0,2.4897954401586926,2.4898281459068596,TCN Policy,-3.2705748167050075e-05
L300_SNR18_A8,300.0,18.0,8.0,2.3966607036935352,2.3964115454889763,TCN Policy,0.00024915820455895243
L300_SNR18_A12,300.0,18.0,12.0,2.334602183719737,2.333657676412487,TCN Policy,0.0009445073072500421
L300_SNR20_A4,300.0,20.0,4.0,2.953978631659362,2.952794475744107,TCN Policy,0.001184155915254781
L300_SNR20_A8,300.0,20.0,8.0,2.839301303456333,2.8371712262977633,TCN Policy,0.002130077158569499
L300_SNR20_A12,300.0,20.0,12.0,2.7704657566437825,2.767293008028908,TCN Policy,0.0031727486148742656
L300_SNR22_A4,300.0,22.0,4.0,3.767766067746693,3.764379916691986,TCN Policy,0.003386151054707298
L300_SNR22_A8,300.0,22.0,8.0,3.674393330203714,3.6759372723147554,TCN Policy,-0.0015439421110414742
L300_SNR22_A12,300.0,22.0,12.0,3.623093317173238,3.6230320618486918,TCN Policy,6.125532454603899e-05
