policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct,scenario,effective_path_m,clear_sky_snr_db,outage_penalty
Oracle Policy,oracle,3225,2.503037220300499,2.6359001113583056,2.7332093023255815,0.03321572276445175,0.9667842772355483,0.7732951593784423,-0.8498006354672875,70,0.021705426356589147,0.0,0.7776744186046511,3.697263644850728,0.0,L300_SNR18_A4,300.0,18.0,4.0
TCN Policy,forecast,3225,2.4898281459068596,2.6204089910964483,2.716093023255814,0.03264521129739711,0.9673547887026029,0.83748120589007,-0.7574566305958272,116,0.035968992248062014,0.0,0.7634108527131783,3.1500305239076685,0.5277218527359213,L300_SNR18_A4,300.0,18.0,4.0
Improved LSTM Policy,forecast,3225,2.4897954401586926,2.6335565708639743,2.7391627906976748,0.03594028267632057,0.9640597173236795,0.7509695779830934,-0.909956722443212,100,0.031007751937984496,0.0,0.7826356589147286,3.148675571387237,0.52902849523815,L300_SNR18_A4,300.0,18.0,4.0
TFT Policy,forecast,3225,2.489510699173618,2.615395793102585,2.70753488372093,0.031471273482241616,0.9685287265177583,0.8695742291458841,-0.7008204944183092,132,0.04093023255813953,0.0,0.7562790697674419,3.1368791583094273,0.540404314293714,L300_SNR18_A4,300.0,18.0,4.0
PatchTST Policy,forecast,3225,2.4886624680672527,2.637732018587538,2.7473488372093025,0.03726738763007142,0.9627326123699286,0.7202719035644887,-0.9712311224636188,140,0.043410852713178294,0.0,0.7894573643410853,3.101738152832111,0.5742923883297558,L300_SNR18_A4,300.0,18.0,4.0
LSTM-raw Policy,forecast,3225,2.4866927198780444,2.6578811551938424,2.784186046511628,0.042797108828949444,0.9572028911710505,0.5821323686807677,-1.167358109761984,94,0.029147286821705427,0.0,0.8201550387596899,3.0201342934752877,0.652986711100225,L300_SNR18_A4,300.0,18.0,4.0
Persistence Policy,forecast,3225,2.4847067462863244,2.6275397379033922,2.73246511627907,0.03570824790426712,0.9642917520957329,0.7760858570528608,-0.9293137340078679,71,0.02201550387596899,0.0,0.7770542635658915,2.9378582388237393,0.7323292624459702,L300_SNR18_A4,300.0,18.0,4.0
Fixed High-Rate,fixed,3225,2.4137929317721123,2.7487683993309053,3.0,0.08374386688969826,0.9162561331103017,-0.22716995690062763,-2.235761974427582,0,0.0,0.0,1.0,0.0,3.565439930520599,L300_SNR18_A4,300.0,18.0,4.0
Fixed Balanced,fixed,3225,1.7884092229906021,1.7964028623074282,1.8000000000000005,0.001998409829206511,0.9980015901707935,4.272830043099373,2.264238025572418,0,0.0,0.0,0.0,-25.90875549222766,28.550434308927425,L300_SNR18_A4,300.0,18.0,4.0
Fixed Conservative,fixed,3225,0.9997881796802544,0.9999576359360508,1.0,4.23640639490747e-05,0.9999576359360509,8.272830043099372,6.264238025572418,0,0.0,1.0,0.0,-58.58020103877556,60.05699909008041,L300_SNR18_A4,300.0,18.0,4.0
Fixed Survival,fixed,3225,0.3499977057842143,0.3499998154079253,0.35,5.274059277531964e-07,0.9999994725940723,12.272830043099372,10.264238025572418,0,0.0,1.0,0.0,-85.500094014806,86.01707945269006,L300_SNR18_A4,300.0,18.0,4.0
Fixed Peak-Rate,fixed,3225,-2.6254907617704952,0.7040169268980392,4.200000000000001,0.8323769221671335,0.16762307783286645,-3.727169956900627,-5.735761974427582,0,0.0,0.0,1.0,-208.77033929513428,204.8921981853428,L300_SNR18_A4,300.0,18.0,4.0
Oracle Policy,oracle,3225,2.412237611095887,2.5480990546094864,2.5966511627906974,0.01698268043919991,0.9830173195608001,1.2853881826342561,-0.05966986141455663,57,0.017674418604651163,0.0,0.6638759689922481,16.038933317733257,0.0,L300_SNR18_A8,300.0,18.0,8.0
Improved LSTM Policy,forecast,3225,2.3966607036935352,2.544637579307446,2.597767441860465,0.01849710945173878,0.9815028905482612,1.281202136122628,-0.06718916159257161,61,0.01891472868217054,0.0,0.6648062015503876,15.289617532653184,0.6457451509213099,L300_SNR18_A8,300.0,18.0,8.0
TCN Policy,forecast,3225,2.3964115454889763,2.532675595071926,2.5813953488372094,0.017033006197868683,0.9829669938021313,1.3425974849598372,-0.03390646129613225,71,0.02201550387596899,0.0,0.6511627906976745,15.277631958698366,0.6560740755435307,L300_SNR18_A8,300.0,18.0,8.0
TFT Policy,forecast,3225,2.3945621774755024,2.536583567330159,2.587472868217055,0.017752673731832116,0.9822473262681679,1.3201168648047985,-0.04883916159631381,103,0.03193798449612403,0.000310077519379845,0.6564341085271318,15.188669457405654,0.7327401554092589,L300_SNR18_A8,300.0,18.0,8.0
PatchTST Policy,forecast,3225,2.3942771727871457,2.5394757974274427,2.591565891472868,0.018149828080037084,0.9818501719199629,1.3047680275954963,-0.06291853590142116,107,0.03317829457364341,0.000310077519379845,0.6598449612403101,15.174959514456692,0.7445551062683993,L300_SNR18_A8,300.0,18.0,8.0
Persistence Policy,forecast,3225,2.3882997042894334,2.5399240582800484,2.5944186046511626,0.018953044248826822,0.9810469557511732,1.2937602756575117,-0.07327868983253037,57,0.017674418604651163,0.0,0.662015503875969,14.887417746090112,0.9923527722287074,L300_SNR18_A8,300.0,18.0,8.0
LSTM-raw Policy,forecast,3225,2.379853325376958,2.57789678993635,2.6498604651162787,0.02475543306992398,0.975244566930076,1.085853298913326,-0.34523560816637294,93,0.02883720930232558,0.0,0.7082170542635658,14.481110840463277,1.3424998254718634,L300_SNR18_A8,300.0,18.0,8.0
Fixed High-Rate,fixed,3225,2.0788174642133193,2.7487683993309053,3.0,0.08374386688969826,0.9162561331103017,-0.22716995690062763,-2.235761974427582,0,0.0,0.0,1.0,0.0,13.822027537788612,L300_SNR18_A8,300.0,18.0,8.0
Fixed Balanced,fixed,3225,1.7804155836737763,1.7964028623074282,1.8000000000000005,0.001998409829206511,0.9980015901707935,4.272830043099373,2.264238025572418,0,0.0,0.0,0.0,-14.354405121012697,26.192362830089195,L300_SNR18_A8,300.0,18.0,8.0
Fixed Conservative,fixed,3225,0.9996187234244582,0.9999576359360508,1.0,4.23640639490747e-05,0.9999576359360509,8.272830043099372,6.264238025572418,0,0.0,1.0,0.0,-51.91406938642682,58.56051995763682,L300_SNR18_A8,300.0,18.0,8.0
Fixed Survival,fixed,3225,0.34999559616050324,0.3499998154079253,0.35,5.274059277531964e-07,0.9999994725940723,12.272830043099372,10.264238025572418,0,0.0,1.0,0.0,-83.16371676755415,85.4908324722829,L300_SNR18_A8,300.0,18.0,8.0
Fixed Peak-Rate,fixed,3225,-5.954998450439029,0.7040169268980392,4.200000000000001,0.8323769221671335,0.16762307783286645,-3.727169956900627,-5.735761974427582,0,0.0,0.0,1.0,-386.46086310865974,346.86616372479386,L300_SNR18_A8,300.0,18.0,8.0
Oracle Policy,oracle,3225,2.355026995718822,2.5022964235591854,2.5368682170542636,0.012272452320030311,0.9877275476799697,1.5117447717815427,0.1390573354812212,57,0.017674418604651163,0.0021705426356589145,0.6155038759689923,35.04818671856876,0.0,L300_SNR18_A12,300.0,18.0,12.0
Improved LSTM Policy,forecast,3225,2.334602183719737,2.509536813794293,2.5508837209302326,0.014577885839546351,0.9854221141604537,1.457016089611,0.07988151339056701,49,0.015193798449612403,0.0,0.6257364341085271,33.87693312803309,0.8672856844620093,L300_SNR18_A12,300.0,18.0,12.0
