policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct,scenario,effective_path_m,clear_sky_snr_db,outage_penalty,rank_in_scenario
Improved LSTM Policy,forecast,3225,2.334602183719737,2.509536813794293,2.5508837209302326,0.014577885839546351,0.9854221141604537,1.457016089611,0.07988151339056701,49,0.015193798449612403,0.0,0.6257364341085271,33.87693312803309,0.8672856844620093,L300_SNR18_A12,300.0,18.0,12.0,1.0
TCN Policy,forecast,3225,2.4898281459068596,2.6204089910964483,2.716093023255814,0.03264521129739711,0.9673547887026029,0.83748120589007,-0.7574566305958272,116,0.035968992248062014,0.0,0.7634108527131783,3.1500305239076685,0.5277218527359213,L300_SNR18_A4,300.0,18.0,4.0,1.0
Improved LSTM Policy,forecast,3225,2.3966607036935352,2.544637579307446,2.597767441860465,0.01849710945173878,0.9815028905482612,1.281202136122628,-0.06718916159257161,61,0.01891472868217054,0.0,0.6648062015503876,15.289617532653184,0.6457451509213099,L300_SNR18_A8,300.0,18.0,8.0,1.0
Improved LSTM Policy,forecast,3225,2.7704657566437825,2.956602619548955,3.006697674418604,0.015511405242097726,0.9844885947579023,1.8041478725567366,-0.04980478554617626,92,0.028527131782945737,0.0,0.9491472868217055,1.2930032847160213,0.47602080908117034,L300_SNR20_A12,300.0,20.0,12.0,1.0
Improved LSTM Policy,forecast,3225,2.953978631659362,3.1164621780907935,3.266046511627907,0.040620886607857946,0.9593791133921421,0.9977912834094499,-0.5042965501965241,103,0.03193798449612403,0.0,0.9990697674418605,2.6977743513073325,0.5244031171263197,L300_SNR20_A4,300.0,20.0,4.0,1.0
Improved LSTM Policy,forecast,3225,2.839301303456333,3.0128545195736676,3.085581395348837,0.021694152014666786,0.9783058479853333,1.543062601238907,-0.20921497199116526,56,0.017364341085271316,0.0,0.9801550387596899,1.1961443295327643,0.5362406557596429,L300_SNR20_A8,300.0,20.0,8.0,1.0
Improved LSTM Policy,forecast,3225,3.623093317173238,3.768724062731086,3.8160000000000007,0.012135895463154028,0.9878641045368459,1.3928300430993723,0.2793631195429541,59,0.018294573643410854,0.0,1.0,22.70175480617472,0.4970595313534783,L300_SNR22_A12,300.0,22.0,12.0,1.0
Improved LSTM Policy,forecast,3225,3.767766067746693,3.896048642612746,4.027720930232559,0.032070643716513296,0.9679293562834868,0.7753106632544111,-0.8724519932977528,100,0.031007751937984496,0.0,1.0,26.521861216510324,0.29098880719448683,L300_SNR22_A4,300.0,22.0,4.0,1.0
TCN Policy,forecast,3225,3.6759372723147554,3.801388298093681,3.8636279069767445,0.015681378222365667,0.9843186217776343,1.2539153144172017,0.005879155995151614,112,0.03472868217054263,0.0,1.0,23.962584205842656,0.4654994816681603,L300_SNR22_A8,300.0,22.0,8.0,1.0
Improved LSTM Policy,forecast,3225,1.685140260087882,1.9968893787561146,2.0593488372093023,0.025979093222352742,0.9740209067776473,1.5591246841240558,-0.32579257829325664,207,0.0641860465116279,0.1655813953488372,0.33054263565891473,9250.32501750917,3.313840702079397,L500_SNR18_A12,500.0,18.0,12.0,1.0
TCN Policy,forecast,3225,1.994525745536778,2.2471684367963056,2.4075038759689926,0.06316067281488177,0.9368393271851182,0.09555879265118747,-1.5213823897732588,151,0.04682170542635659,0.019224806201550388,0.5190697674418605,25.331060552923915,1.2024570153517824,L500_SNR18_A4,500.0,18.0,4.0,1.0
Improved LSTM Policy,forecast,3225,1.7997145370130676,2.1119431375419278,2.2074883720930236,0.03902857506610756,0.9609714249338924,0.9214502655194046,-0.8178621241058855,173,0.05364341085271318,0.09457364341085271,0.4027906976744186,128.8272640527028,2.440570425396612,L500_SNR18_A8,500.0,18.0,8.0,1.0
Improved LSTM Policy,forecast,3225,2.2826757266237423,2.5042145247494525,2.549891472868217,0.018461566510475848,0.9815384334895242,1.57059755234111,0.0025709900452051565,75,0.023255813953488372,0.028217054263565893,0.6437209302325582,29.496783981386102,1.1254121065292677,L500_SNR20_A12,500.0,20.0,12.0,1.0
Improved LSTM Policy,forecast,3225,2.4801296975757428,2.650392049972473,2.7681860465116284,0.04256558809918259,0.9574344119008175,0.7240859244341332,-1.829670282544665,102,0.03162790697674418,0.0,0.8065116279069767,2.37444367279038,0.5150207134535099,L500_SNR20_A4,500.0,20.0,4.0,1.0
Improved LSTM Policy,forecast,3225,2.3627220409419896,2.5463871705232486,2.6048372093023255,0.02295814119765736,0.9770418588023426,1.3502874748217302,-0.331292468672159,71,0.02201550387596899,0.013953488372093023,0.68,12.904825989762632,0.7729548298369343,L500_SNR20_A8,500.0,20.0,8.0,1.0
Improved LSTM Policy,forecast,3225,2.869182244402254,3.223213234834414,3.3258294573643408,0.02950258253601335,0.9704974174639867,1.0692022035039006,-0.6040523113232809,207,0.0641860465116279,0.005271317829457364,0.8437209302325581,14.97648894849216,2.156997183015357,L500_SNR22_A12,500.0,22.0,12.0,1.0
Improved LSTM Policy,forecast,3225,3.2099906645538074,3.4590480366698397,3.6835348837209305,0.06226434302900803,0.9377356569709919,-0.12273578099222339,-1.8428525723399178,83,0.02573643410852713,0.0,0.9835658914728682,16.1128473572273,0.6849540840543952,L500_SNR22_A4,500.0,22.0,4.0,1.0
Improved LSTM Policy,forecast,3225,3.0028187441982785,3.343658715441167,3.4937674418604656,0.042604996405361154,0.9573950035946388,0.4992797228837456,-1.1222000448825056,167,0.05178294573643411,0.0,0.9150387596899225,14.175722184244533,1.4711810786941015,L500_SNR22_A8,500.0,22.0,8.0,1.0
TCN Policy,forecast,3225,1.0055480932361693,1.3194595923159291,1.3509922480620158,0.02615929158997997,0.97384070841002,1.7417131908931998,-0.6796096106583588,273,0.08465116279069768,0.4232558139534883,0.04186046511627907,143.59219733635803,4.050023827985898,L800_SNR18_A12,800.0,18.0,12.0,1.0
Improved LSTM Policy,forecast,3225,1.3419765452726178,1.649140097154063,1.7935348837209304,0.0767908879703614,0.9232091120296386,-0.37146510368044383,-3.305453683026217,225,0.06976744186046512,0.2951937984496124,0.2124031007751938,156.33101905865766,1.9655980959918413,L800_SNR18_A4,800.0,18.0,4.0,1.0
Improved LSTM Policy,forecast,3225,1.1349355847227207,1.4446295566967569,1.5009302325581395,0.03871174649675451,0.9612882535032455,0.986674431203277,-1.5605748493704539,183,0.05674418604651163,0.3714728682170543,0.08341085271317829,227.29321628058747,2.6608602533887256,L800_SNR18_A8,800.0,18.0,8.0,1.0
Improved LSTM Policy,forecast,3225,1.4791932035661017,1.8707289593604817,1.936046511627907,0.03262797964953165,0.9673720203504683,1.2355116405056026,-0.9251053820222664,258,0.08,0.32031007751937984,0.3882170542635659,2073.9297719936308,4.602283711462715,L800_SNR20_A12,800.0,20.0,12.0,1.0
Improved LSTM Policy,forecast,3225,1.8676689969135996,2.1980582004785254,2.384558139534884,0.08259730089123148,0.9174026991087685,-0.8161162664711415,-3.7534640700739677,177,0.05488372093023256,0.12744186046511627,0.5720930232558139,19.33761111922367,1.3692002518278628,L800_SNR20_A4,800.0,20.0,4.0,1.0
Improved LSTM Policy,forecast,3225,1.6213925148106303,1.9992065124679266,2.0992868217054266,0.047226749707162057,0.952773250292838,0.4855891598854476,-1.8196865234823127,255,0.07906976744186046,0.2663565891472868,0.4592248062015504,117.62296913674818,3.3610009154705223,L800_SNR20_A8,800.0,20.0,8.0,1.0
Improved LSTM Policy,forecast,3225,1.964751037883919,2.3642344624522047,2.446062015503876,0.033290285380690496,0.9667097146193095,1.192720942831184,-0.8830690339831402,284,0.08806201550387596,0.1987596899224806,0.5947286821705426,67.5993528599436,3.456672328637863,L800_SNR22_A12,800.0,22.0,12.0,1.0
Improved LSTM Policy,forecast,3225,2.377471465125268,2.7219772744091015,2.976186046511628,0.0861264523209584,0.9138735476790416,-0.8480542509672656,-3.656518981268071,255,0.07906976744186046,0.027906976744186046,0.7125581395348837,10.731031657311378,1.4972251521328879,L800_SNR22_A4,800.0,22.0,4.0,1.0
Improved LSTM Policy,forecast,3225,2.1267391599997936,2.514097192264198,2.642542635658915,0.048419754033050495,0.9515802459669495,0.4153566017459127,-1.7315864386883022,248,0.07689922480620155,0.13271317829457363,0.6334883720930232,28.14155058209584,2.2549380065002693,L800_SNR22_A8,800.0,22.0,8.0,1.0
