variant,中文名称,消融类别,单一改动,论文用途,seed,primary_model,model,RMSE,MAE,MAPE,R2,seq_len,pred_len_cfg,target_mode,target_aggregation,feature_count,effective_feature_count,source,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6
no_delta_target,去除增量预测目标,任务定义消融,仅将目标形式由增量预测改为绝对值预测。,检验增量预测对站点偏置和短时变化建模的作用。,42,lstm,lstm,0.1212215417755595,0.0909107774779084,0.0068099551669053,0.9121715906886418,72,6,absolute,mean,9,,outputs\strict_independent_ablation_20260501\runs\no_delta_target\seed_42\metrics_all_models.csv,0.1212215417755595,,,,,
no_delta_target,去除增量预测目标,任务定义消融,仅将目标形式由增量预测改为绝对值预测。,检验增量预测对站点偏置和短时变化建模的作用。,52,lstm,lstm,0.1215619568881961,0.0872485786059045,0.0065312115401309,0.911677617464853,72,6,absolute,mean,9,,outputs\strict_independent_ablation_20260501\runs\no_delta_target\seed_52\metrics_all_models.csv,0.1215619568881961,,,,,
no_delta_target,去除增量预测目标,任务定义消融,仅将目标形式由增量预测改为绝对值预测。,检验增量预测对站点偏置和短时变化建模的作用。,62,lstm,lstm,0.1245527883274952,0.0893974626463895,0.0067047372130462,0.9072781006526672,72,6,absolute,mean,9,,outputs\strict_independent_ablation_20260501\runs\no_delta_target\seed_62\metrics_all_models.csv,0.1245527883274952,,,,,
no_delta_target,去除增量预测目标,任务定义消融,仅将目标形式由增量预测改为绝对值预测。,检验增量预测对站点偏置和短时变化建模的作用。,72,lstm,lstm,0.1229305513333148,0.092019720372166,0.006875290799685,0.9096776831165156,72,6,absolute,mean,9,,outputs\strict_independent_ablation_20260501\runs\no_delta_target\seed_72\metrics_all_models.csv,0.1229305513333148,,,,,
no_delta_target,去除增量预测目标,任务定义消融,仅将目标形式由增量预测改为绝对值预测。,检验增量预测对站点偏置和短时变化建模的作用。,82,lstm,lstm,0.1180465498049103,0.0853382830682524,0.0063935947842263,0.91671208177507,72,6,absolute,mean,9,,outputs\strict_independent_ablation_20260501\runs\no_delta_target\seed_82\metrics_all_models.csv,0.1180465498049103,,,,,
no_future_mean_target,去除未来均值目标,任务定义消融,仅将目标聚合方式由未来 30 min 均值改为 6 步多步预测。,检验未来均值目标对短时平均湍流预测的作用。,42,lstm,lstm,0.1735475372129501,0.1260110112507951,0.009443279067096,0.8365157124408038,72,6,delta,multistep,9,,outputs\strict_independent_ablation_20260501\runs\no_future_mean_target\seed_42\metrics_all_models.csv,0.1512204177310979,0.1671286448304326,0.1742022712529999,0.1790453563428597,0.1826514671251,0.1847908493239324
no_future_mean_target,去除未来均值目标,任务定义消融,仅将目标聚合方式由未来 30 min 均值改为 6 步多步预测。,检验未来均值目标对短时平均湍流预测的作用。,52,lstm,lstm,0.177204626681739,0.1272885864720099,0.0095635027120042,0.8295530546058323,72,6,delta,multistep,9,,outputs\strict_independent_ablation_20260501\runs\no_future_mean_target\seed_52\metrics_all_models.csv,0.1525807013962593,0.1682021701141831,0.1756862291924932,0.1830878184515492,0.1884235068924919,0.1922129534966419
no_future_mean_target,去除未来均值目标,任务定义消融,仅将目标聚合方式由未来 30 min 均值改为 6 步多步预测。,检验未来均值目标对短时平均湍流预测的作用。,62,lstm,lstm,0.1771711228197104,0.1265961948662553,0.0095065086871145,0.8296175009038506,72,6,delta,multistep,9,,outputs\strict_independent_ablation_20260501\runs\no_future_mean_target\seed_62\metrics_all_models.csv,0.1527168916165812,0.1681687293507355,0.1777821298099245,0.1827588099308173,0.1870503985485394,0.1916751161900287
no_future_mean_target,去除未来均值目标,任务定义消融,仅将目标聚合方式由未来 30 min 均值改为 6 步多步预测。,检验未来均值目标对短时平均湍流预测的作用。,72,lstm,lstm,0.175139219409026,0.1272733339328051,0.0095414606672529,0.8335031856330031,72,6,delta,multistep,9,,outputs\strict_independent_ablation_20260501\runs\no_future_mean_target\seed_72\metrics_all_models.csv,0.1520436259835699,0.1684092866033348,0.1745294536608663,0.1803973092399512,0.1859548811042616,0.1870309809953064
no_future_mean_target,去除未来均值目标,任务定义消融,仅将目标聚合方式由未来 30 min 均值改为 6 步多步预测。,检验未来均值目标对短时平均湍流预测的作用。,82,lstm,lstm,0.1742120434280307,0.1255291192861842,0.0094182679899026,0.8352613666994901,72,6,delta,multistep,9,,outputs\strict_independent_ablation_20260501\runs\no_future_mean_target\seed_82\metrics_all_models.csv,0.1518919628871048,0.1675946457933403,0.1737052578222076,0.1799595464596185,0.1842364388619202,0.1855744120356422
full_improved,完整改进 LSTM 模型,基准模型,不改变配置，作为严格消融参照组。,正文主参照组,42,lstm,lstm,0.1163531221030203,0.0834055571286336,0.0062541652815836,0.9190845427087736,72,6,delta,mean,9,,outputs\strict_independent_ablation_20260501\runs\full_improved\seed_42\metrics_all_models.csv,0.1163531221030203,,,,,
full_improved,完整改进 LSTM 模型,基准模型,不改变配置，作为严格消融参照组。,正文主参照组,52,lstm,lstm,0.1229778486917938,0.087684714884983,0.0065808487956351,0.9096081669746238,72,6,delta,mean,9,,outputs\strict_independent_ablation_20260501\runs\full_improved\seed_52\metrics_all_models.csv,0.1229778486917938,,,,,
full_improved,完整改进 LSTM 模型,基准模型,不改变配置，作为严格消融参照组。,正文主参照组,62,lstm,lstm,0.1182369916715899,0.0841682581806614,0.0063059009155638,0.9164431319217736,72,6,delta,mean,9,,outputs\strict_independent_ablation_20260501\runs\full_improved\seed_62\metrics_all_models.csv,0.1182369916715899,,,,,
full_improved,完整改进 LSTM 模型,基准模型,不改变配置，作为严格消融参照组。,正文主参照组,72,lstm,lstm,0.1194632938115543,0.0876825268671872,0.0065579199292367,0.9147009135064992,72,6,delta,mean,9,,outputs\strict_independent_ablation_20260501\runs\full_improved\seed_72\metrics_all_models.csv,0.1194632938115543,,,,,
full_improved,完整改进 LSTM 模型,基准模型,不改变配置，作为严格消融参照组。,正文主参照组,82,lstm,lstm,0.1179068255791104,0.0839845630789834,0.0062994230580086,0.9169091303583712,72,6,delta,mean,9,,outputs\strict_independent_ablation_20260501\runs\full_improved\seed_82\metrics_all_models.csv,0.1179068255791104,,,,,
