variant,中文名称,消融类别,单一改动,论文用途,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,相对完整模型RMSE变化,相对完整模型MAE变化,相对完整模型R2变化,RMSE相对变化率,结论口径
full_improved,完整改进 LSTM 模型,基准模型,不改变配置，作为严格消融参照组。,正文主参照组,0.11898761637141372,0.002491000262172583,0.08538512402808972,0.0021170260087220037,0.006399651596005559,0.0001564309017216045,0.9153491770940082,0.0035694043795122354,0.0,0.0,0.0,0.0,完整模型作为单因素消融参照组。
no_future_mean_target,去除未来均值目标,任务定义消融,仅将目标聚合方式由未来 30 min 均值改为 6 步多步预测。,检验未来均值目标对短时平均湍流预测的作用。,0.17545490991029125,0.001679980931634396,0.12653964916160992,0.0007750849187323414,0.00949460382467404,6.23412715065581e-05,0.832890164056596,0.003201156904571952,0.05646729353887753,0.041154525133520206,-0.08245901303741221,0.4745644568811075,去除该因素后 RMSE 上升，说明该因素对最终模型有正向作用。
no_delta_target,去除增量预测目标,任务定义消融,仅将目标形式由增量预测改为绝对值预测。,检验增量预测对站点偏置和短时变化建模的作用。,0.12166267762589518,0.0024104651796190593,0.08898296443412416,0.002711178479317169,0.00666295790079874,0.00019896768534296872,0.9115034147395494,0.003492620544359163,0.002675061254481456,0.003597840406034447,-0.0038457623544587705,0.022481845893369188,去除该因素后 RMSE 上升，说明该因素对最终模型有正向作用。
no_time_cycle_features,去除时间周期特征,输入特征消融,仅移除 hour_sin 和 hour_cos，并关闭小时周期特征开关。,检验昼夜周期信息对湍流预测的作用。,0.11907276042628705,0.0023868375269432292,0.0853665736024335,0.002275985320258279,0.0064047170779503605,0.0001757832967036287,0.915230458358727,0.00340111555490426,8.514405487332344e-05,-1.8550425656224667e-05,-0.00011871873528124244,0.0007155707246672684,去除该因素后 RMSE 变化较小，说明该因素影响有限或与其他模块存在替代关系。
no_domain_physics_features,去除物理派生特征,输入特征消融,仅关闭 domain_features，其余时间、差分、滚动统计设置保持不变。,检验温差、太阳辐射非负化、风速平方等物理派生量的作用。,0.11798779326606312,0.0006888018425380238,0.08521179704961765,0.0011708536160243645,0.00637926288858804,8.821022584964026e-05,0.9167927040875761,0.0009702314954237605,-0.0009998231053506001,-0.00017332697847206868,0.0014435269935678674,-0.008402749259466664,去除该因素后 RMSE 变化较小，说明该因素影响有限或与其他模块存在替代关系。
no_solar_regime_features,去除太阳状态特征,输入特征消融,仅关闭 solar_regime_features。,检验夜间、晨昏、强日照和太阳辐射跃迁信息的作用。,0.12032404066579601,0.0018845945675597753,0.08801594301495443,0.0030499006946806536,0.006586305811244859,0.00022553801063410745,0.9134503232547008,0.002718139658349329,0.0013364242943822852,0.002630818986864708,-0.001898853839307435,0.011231625064331952,去除该因素后 RMSE 变化较小，说明该因素影响有限或与其他模块存在替代关系。
no_diff_features,去除一阶差分特征,输入特征消融,仅关闭 diff_features。,检验短时变化率特征对预测的作用。,0.12002098435838957,0.001226690714079259,0.08680458922777715,0.0007841187361803325,0.00650325926164792,5.656826921491621e-05,0.9138954559765731,0.0017606415033065103,0.0010333679869758416,0.001419465199687428,-0.001453721117435136,0.008684668358682274,去除该因素后 RMSE 变化较小，说明该因素影响有限或与其他模块存在替代关系。
no_rolling_features,去除滚动统计特征,输入特征消融,仅关闭 rolling_features。,检验短窗均值和标准差统计对预测的作用。,0.11908625770727528,0.0009502576822648159,0.0861664210540222,0.0014135584320561167,0.0064544620740032005,0.00010673020020116576,0.915234168238239,0.001355592461549065,9.864133586155732e-05,0.0007812970259324786,-0.00011500885576920528,0.0008290050584226637,去除该因素后 RMSE 变化较小，说明该因素影响有限或与其他模块存在替代关系。
no_bidirectional_encoder,去除双向编码,模型结构消融,仅将 LSTM 编码器由双向改为单向。,检验双向历史上下文编码的作用。,0.12137532706473597,0.0029302021653585994,0.0868710085463212,0.0018615605092531641,0.006505381177096479,0.0001350284742696157,0.9119075513380241,0.004250061748336227,0.002387710693322248,0.0014858845182314784,-0.003441625755984057,0.020066883984541147,去除该因素后 RMSE 上升，说明该因素对最终模型有正向作用。
no_attention_pooling,去除注意力池化,模型结构消融,仅关闭 attention_pool。,检验注意力池化对历史窗口信息聚合的作用。,0.11869837368302047,0.0012587266757823313,0.08483574336085906,0.0018883659508741673,0.00635580644669524,0.00014184316991298505,0.9157821759437509,0.0017800023463445153,-0.0002892426883932542,-0.0005493806672306617,0.0004329988497426829,-0.0024308637925008767,去除该因素后 RMSE 变化较小，说明该因素影响有限或与其他模块存在替代关系。
