seed,model,RMSE,MAE,MAPE,R2,RMSE_h1
42,patchtst,0.1308202115716765,0.0972949810267507,0.0072599294090972,0.8977119016164621,0.1308202115716765
42,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
42,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
52,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
52,patchtst,0.1688964879071567,0.1195531392078931,0.0089524154641428,0.8295030367693891,0.1688964879071567
52,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
62,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
62,patchtst,0.1689487990467263,0.1193101017087565,0.0089331525480911,0.8293974067264749,0.1689487990467263
62,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
72,patchtst,0.1250173933270608,0.0886008700116393,0.0066437050906698,0.9065850707330104,0.1250173933270608
72,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
72,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
82,patchtst,0.1258125999737387,0.0904717621503814,0.0067765373538791,0.9053929098205724,0.1258125999737387
82,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
82,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
