seed,model,RMSE,MAE,MAPE,R2,RMSE_h1
42,tcn,0.1211559071579894,0.0883034223504819,0.0066150509689519,0.9122666731859308,0.1211559071579894
42,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
42,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
52,tcn,0.129806942332725,0.098061803861145,0.0073541108835845,0.8992903120041545,0.129806942332725
52,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
52,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
62,tcn,0.1234275425828272,0.0892859998610625,0.0066895663915392,0.9089458855045308,0.1234275425828272
62,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
62,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
72,tcn,0.1279802841218986,0.0950054875783274,0.0071269920842364,0.9021047656342264,0.1279802841218986
72,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
72,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
82,tcn,0.1241363064670638,0.0919506336020071,0.0068895041900699,0.9078971542373864,0.1241363064670638
82,naive_moving_avg,0.1570069713801239,0.1186167597544343,0.0088958677650884,0.8526625045961647,0.1570069713801239
82,naive_persistence,0.1708854291717045,0.1215654369984098,0.0091026867082181,0.8254638156264239,0.1708854291717045
